Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
GE Vernova T&D,522275,GVT&D,INE200A01026,Electrical Equipment,Heavy Electrical Equipment,3614.80,15.78,27.09,0,1,990824,702608,566134,1252.85,3819.00,3819.00,11.61,-2.08,2.97,32.99,3074.68,2692.50,3052.63,2683.23,72.12,187.16,176.52,108.01,88.22,124.70,210.20,98.65,644050,43.42,24.75,92556.95
GEE,504028,,INE064H01021,Electrical Equipment,Other Electrical Equipment,73.10,-10.89,0.00,0,1,9085,9430,7509,55.25,97.90,101.46,0.55,1.47,0.14,1.06,76.24,77.90,76.37,77.95,44.57,-0.99,-1.05,-1.10,-1.12,7.90,20.38,33.02,22856,29.21,16.64,379.95
GeeCee Vent.,532764,GEECEE,INE916G01016,Realty,"Residential, Commercial Projects",324.60,-9.01,-11.00,0,1,3144,6698,21448,296.05,452.85,477.50,22.25,5.60,2.75,3.26,322.70,351.06,322.63,351.32,59.85,-2.43,-3.88,-4.58,-5.11,-21.65,31.07,28.93,8527,17.31,13.54,678.79
Geekay Wires,,GEEKAYWIRE,INE669X01032,Industrial Products,Iron & Steel Products,28.18,-9.80,-17.79,0,1,82752,80172,55525,27.27,43.77,73.90,3.10,0.36,-0.67,-11.66,30.59,34.44,30.69,34.50,39.82,-0.91,-0.93,-0.93,-0.94,-29.53,35.65,28.48,90779,33.65,,294.54
Geetanjali Cred.,539486,,INE263R01010,Finance,Non Banking Financial Company (NBFC),5.90,43.55,71.01,0,1,5734,2849,2849,3.13,6.19,24.00,0.75,4.06,4.06,9.06,4.52,3.58,4.46,3.56,76.60,0.48,0.45,0.31,0.26,11.32,45.13,,6080,33.52,-12.53,2.61
Gem Aromatics,544491,GEMAROMA,INE06XZ01023,Chemicals & Petrochemicals,Specialty Chemicals,197.32,-0.72,,0,1,402738,490308,208566,133.00,349.60,349.60,133.00,-0.50,2.96,30.13,173.84,231.77,172.88,232.12,68.75,9.70,8.95,5.03,3.87,,,,585302,,,1030.74
Gem Enviro,544199,,INE0RUJ01013,Other Utilities,Waste Management,48.00,-8.75,-29.36,1,0,14760,7400,11200,41.10,103.60,324.40,41.10,2.39,2.56,5.75,48.80,66.05,48.83,66.23,52.70,-0.79,-1.03,-1.33,-1.46,-51.93,,,22888,,,108.24
Gem Spinners,521133,,INE165F01020,Textiles & Apparels,Other Textile Products,4.19,-23.12,-44.87,0,1,300,300,300,3.73,7.84,18.76,1.20,0.00,-4.99,-4.99,5.24,5.53,5.29,5.54,26.69,-0.36,-0.34,-0.29,-0.28,-11.79,-15.72,19.49,1044,7.66,,25.72
Gemstone Invest.,531137,,INE503D01027,Commercial Services & Supplies,Diversified Commercial Services,1.63,-17.68,-20.10,0,1,71725,69865,39587,1.37,2.82,20.65,0.17,2.52,-4.12,-4.12,1.73,1.98,1.74,1.99,46.17,-0.04,-0.04,-0.04,-0.04,-38.72,22.81,-5.30,96251,10.90,24.65,12.18
General Insuranc,540755,GICRE,INE481Y01014,Insurance,General Insurance,398.35,1.67,3.13,0,1,603561,949130,1567057,345.05,453.80,525.50,81.50,3.74,6.50,7.90,375.84,381.58,374.92,381.41,69.60,3.07,1.35,0.64,0.03,4.59,35.99,22.82,803005,8.92,,69886.52
Generic Engineer,539407,GENCON,INE854S01022,Realty,"Residential, Commercial Projects",52.50,32.91,30.56,0,1,321983,243148,94205,21.96,55.92,194.40,6.25,-0.04,1.69,15.84,46.67,43.21,46.43,43.12,66.07,2.18,2.16,1.67,1.54,56.06,-3.60,0.27,273537,-13.26,23.12,299.18
Genesis IBRC,514336,,INE194N01016,Pharmaceuticals & Biotechnology,Biotechnology,76.77,-56.79,122.46,0,1,550,98,58,18.34,184.90,184.90,2.01,-0.30,-14.15,-14.88,91.87,70.94,92.48,70.88,38.57,-2.44,-1.93,-2.50,-2.52,339.44,89.68,59.40,371,43.62,16.78,99.80
